id,nom,revenu_mensuel,profession,derniere_interaction,score_interet
0,Client_0,-100,,2024-02-23,4
1,Client_1,15432,Professeur,2024-01-15,42
2,Client_2,18921,Medecin,2024-02-14,88
3,Client_3,4500,Commercial,2024-01-22,67
4,Client_4,12300,Comptable,2024-02-10,31
5,Client_5,7800,Ingenieur,2024-01-28,92
6,Client_6,5400,Professeur,2024-01-19,15
7,Client_7,19200,Medecin,2024-02-11,55
8,Client_8,3100,Etudiant,2024-01-13,9
9,Client_9,16500,Commercial,2024-02-25,78
10,Client_10,-100,Comptable,2024-01-20,44
11,Client_11,14200,Ingenieur,2024-02-18,63
12,Client_12,8900,Professeur,2024-01-27,22
13,Client_13,11000,Medecin,2024-02-14,81
14,Client_14,5600,Etudiant,2024-01-21,37
15,Client_15,13400,,date_inconnue,50
16,Client_16,17800,Commercial,2024-01-25,99
17,Client_17,6200,Comptable,2024-02-12,14
18,Client_18,15100,Ingenieur,2024-01-30,48
19,Client_19,9300,Professeur,2024-02-19,73
20,Client_20,-100,Medecin,date_inconnue,29
21,Client_21,12600,Etudiant,2024-01-11,61
22,Client_22,4800,Commercial,2024-02-22,85
23,Client_23,19700,Comptable,2024-01-26,5
24,Client_24,7100,Ingenieur,2024-02-15,90
25,Client_25,14500,Professeur,2024-01-23,33
26,Client_26,11200,Medecin,2024-02-28,77
27,Client_27,5900,Etudiant,2024-01-18,19
28,Client_28,18400,Commercial,2024-02-13,46
29,Client_29,3600,Comptable,2024-01-24,68
30,Client_30,-100,,2024-02-20,52
31,Client_31,15800,Ingenieur,2024-01-12,84
32,Client_32,8200,Professeur,2024-02-26,11
33,Client_33,10500,Medecin,2024-01-14,96
34,Client_34,6400,Etudiant,2024-02-17,41
35,Client_35,13900,Commercial,2024-01-29,59
36,Client_36,17200,Comptable,2024-02-21,25
37,Client_37,5100,Ingenieur,2024-01-17,82
38,Client_38,19400,Professeur,2024-02-10,3
39,Client_39,9700,Medecin,2024-01-21,70
40,Client_40,-100,Etudiant,date_inconnue,12
41,Client_41,11800,Commercial,2024-02-24,87
42,Client_42,4200,Comptable,2024-01-16,39
43,Client_43,18100,Ingenieur,2024-02-27,54
44,Client_44,7500,Professeur,2024-01-25,98
45,Client_45,14900,,2024-02-16,21
46,Client_46,12100,Medecin,2024-01-31,64
47,Client_47,3800,Etudiant,2024-02-22,45
48,Client_48,16200,Commercial,2024-01-20,79
49,Client_49,8600,Comptable,2024-02-19,13
50,Client_50,-100,Ingenieur,2024-01-14,86
51,Client_51,10900,Professeur,2024-02-11,2
52,Client_52,6800,Medecin,2024-01-26,58
53,Client_53,13100,Etudiant,2024-02-18,34
54,Client_54,17600,Commercial,2024-01-23,72
55,Client_55,5300,Comptable,2024-02-14,10
56,Client_56,19900,Ingenieur,2024-01-18,91
57,Client_57,9100,Professeur,2024-02-25,49
58,Client_58,11500,Medecin,2024-01-22,66
59,Client_59,4400,Etudiant,2024-02-13,28
60,Client_60,-100,,date_inconnue,83
61,Client_61,15200,Commercial,2024-01-24,40
62,Client_62,7900,Comptable,2024-02-17,7
63,Client_63,12700,Ingenieur,2024-01-12,94
64,Client_64,18600,Professeur,2024-02-26,56
65,Client_65,3300,Medecin,2024-01-27,16
66,Client_66,16800,Etudiant,2024-02-20,38
67,Client_67,10200,Commercial,2024-01-19,89
68,Client_68,5800,Comptable,2024-02-11,62
69,Client_69,14100,Ingenieur,2024-01-15,23
70,Client_70,-100,Professeur,2024-02-24,75
71,Client_71,11300,Medecin,2024-01-28,47
72,Client_72,6600,Etudiant,2024-02-15,93
73,Client_73,13600,Commercial,2024-01-13,51
74,Client_74,17900,Comptable,2024-02-12,20
75,Client_75,4100,,2024-01-30,69
76,Client_76,19100,Ingenieur,2024-02-10,35
77,Client_77,8800,Professeur,2024-01-10,80
78,Client_78,12400,Medecin,2024-02-23,1
79,Client_79,5500,Etudiant,2024-01-25,57
80,Client_80,-100,Commercial,date_inconnue,43
81,Client_81,14800,Comptable,2024-01-17,97
82,Client_82,16600,Ingenieur,2024-02-16,26
83,Client_83,9400,Professeur,2024-01-21,71
84,Client_84,3900,Medecin,2024-02-18,6
85,Client_85,12900,Etudiant,2024-01-11,88
86,Client_86,18300,Commercial,2024-02-27,53
87,Client_87,7200,Comptable,2024-01-14,32
88,Client_88,15700,Ingenieur,2024-02-14,99
89,Client_89,10100,Professeur,2024-01-24,44
90,Client_90,-100,,2024-02-12,18
91,Client_91,6300,Medecin,2024-01-29,65
92,Client_92,13700,Etudiant,2024-02-21,36
93,Client_93,17400,Commercial,2024-01-16,74
94,Client_94,4900,Comptable,2024-02-19,8
95,Client_95,19600,Ingenieur,2024-01-28,95
96,Client_96,8100,Professeur,2024-02-10,50
97,Client_97,11700,Medecin,2024-01-22,27
98,Client_98,5200,Etudiant,2024-02-13,60
99,Client_99,14400,Commercial,2024-01-26,41
0,Client_0,-100,,2024-02-23,4
0,Client_0,-100,,2024-02-23,4
0,Client_0,-100,,2024-02-23,4
0,Client_0,-100,,2024-02-23,4
0,Client_0,-100,,2024-02-23,4
